PAD; Name
00235; Dostal Hubert, Dr. 
00236; Draxler Hans 
00237; Drescher Martin 
00239; Drexel Karl, DDr. 
88629; Drozda Thomas, Mag. 
00242; Duda Adolf 
00243; Duld Matthias 
02890; Dunst Verena 
40627; Durchschlag Claudia 
00247; Duscher Matthias 
60446; Duzdar Muna, Mag. 
00251; Dworak Franz 
00193; Ebenbichler Gerhard 
00209; Eberhard Sepp 
00213; Ebner Anton 
00221; Ebner Hans 
83109; Ecker Cornelia 
00228; Eckhart Leopold 
00238; Eder Kurt 
35470; Eder Sebastian, Dr. 
00240; Ederer Brigitte, Mag. 
35471; Eder-Gitschthaler Andrea, Dr. 
83118; Eder-Lindner Astrid Monika, Dr. 
00244; Edler Josef 
04475; Edlinger Rudolf 
00249; Edlinger Wolfgang 
00250; Egg Herbert 
01943; Egger Bernhard 
08185; Egghart Robert 
00254; Ehgartner Hans 
36508; Ehmann Michael 
00255; Ehrenfried Anton 
00256; Eibegger Max 
00259; Eichinger Johann 
00263; Eichinger Karl 
00282; Eigruber Hermann 
02873; Einem Caspar, Dr. 
24257; Einwallner Reinhold, Ing. 
30035; Einwallner Thomas 
00321; Eisenhut Josef 
36348; Eisenschenk Peter, Mag. 
00286; Eisler Arnold, Dr. 
83144; El Habbassi Asdin, BA 
00289; Eldersch Matthias 
00291; Ellenbogen Wilhelm, Dr. 
00301; Ellend Bernhard 
00303; Ellmauer Matthias 
00306; Ellmerer Hans 
00307; Elmecker Robert 
00309; Elser Viktor 
00260; Elshuber August 
00264; Emhart Maria 
00267; Enge Franz 
01976; Engelberg Martin, Mag. 
00268; Enser Maria 
00269; Entner Richard 
30653; Erasim Melanie, MSc 
00273; Erlinger Helga 
00274; Ermacora Felix, Dr. 
00275; Ertl Ferdinand 
00276; Ertl Franz 
83433; Ertlschweiger Rouven, MSc 
14755; Eßl Franz Leonhard 
00281; Ettmayer Wendelin, Dr. 
00284; Exler Rudolf 
00287; Eypeltauer Beatrix, Dr. 
00293; Fachleutner Karl 
00294; Fageth Ferdinand 
00296; Fahrner Anton 
00297; Falger Nikolaus 
00298; Falle Anton 
08186; Fallent Gerhard, Ing. 
00302; Fasslabend Werner, Dr. 
00304; Fast Franziska 
08176; Faul Christian 
00305; Fauland Adolf 
22534; Fauland Markus 
36450; Faymann Werner 
35493; Fazekas Hannes 
02189; Feichtinger Elisabeth, BEd BEd 
83298; Feichtinger Klaus Uwe, Mag. Dr. 
00311; Fekter Maria Theresia, Mag. Dr. 
15530; Felzmann Carina 
03130; Ferrero-Waldner Benita, Dr. 
00318; Fertl Rudolf, Dr. 
00319; Feurstein Gottfried, Dr. 
35517; Fichtenbauer Peter, Dr. 
83146; Fichtinger Angela 
00324; Fiedler Kurt, Dipl.-Kfm. Dr. 
00326; Figl Leopold, Dipl.-Ing. DDDr. h.c. 
00327; Fink Ernst 
00328; Fink Jodok, Dr. h.c. 
00329; Fink Josef, Dr. 
00330; Fink Pius, Dipl.-Ing. 
08676; Finz Alfred, Dr. 
02857; Firlinger Reinhard, Mag. 
00290; Firnberg Hertha, Dr. Dr. h.c. 
00331; Fischer Christian 
00333; Fischer Ernst 
00334; Fischer Heinz, Dr. 
00335; Fischer Hermann 
00336; Fischer Leopold 
00338; Fischer Rudolf Heinz, Ing. 
00339; Fischl Harald 
00340; Fischler Franz, Dipl.-Ing. Dr. 
00342; Fister Alfred 
13125; Fleckl Anita 
00347; Fleischmann Franz, Dr. 
00292; Flemming Marilies, Dr. 
00363; Flicker Franz, Dipl.-Ing. 
00365; Flossmann Ferdinanda 
00364; Flöttl Karl 
00366; Födermayr Florian 
00367; Fohringer Josef 
00368; Foppa Hermann 
00371; Forsthuber Rudolf 
00373; Forstner August 
00285; Frank Felix, Dr. 
14756; Franz Anna 
00377; Franz Georg 
83141; Franz Marcus, Dr. 
00383; Franzmair Josef 
00386; Frauscher Helmut, Dipl.-Kfm. Dr. 
10613; Freigaßner Evelyn 
00389; Freund Karl 
00390; Freund Richard 
00392; Freundlich Emmy 
00394; Friedl Karl 
02347; Friedl Klaudia 
00398; Frieser Cordula, Mag. 
00400; Frisch Anton 
00401; Frischenschlager Friedhelm, Dr. 
00402; Fritz Hermann 
00404; Frizberg Gilbert, Dr. 
00405; Frodl Karl 
00407; Frömel Emmerich 
00414; Frühbauer Erwin 
00415; Frühwirth Josef, Dipl.-Ing. Dr. 
00416; Frühwirth Michael 
02814; Fuchs Brunhilde 
00420; Fuchs Hans Georg, Dipl.-Ing. 
83127; Fuchs Hubert, MMag. DDr. 
00421; Fuchs Luis 
00424; Fuhrmann Willi, Dr. 
35498; Füller Christian 
72999; Fürlinger Klaus, Mag. 
00426; Furreg Lotte 
01567; Fürst Susanne, Dr. 
00427; Fux Franz 
00428; Fux Herbert 
00343; Gaál Anton 
00346; Gabriel Josef 
00348; Gabriele Franz 
08209; Gahr Hermann 
00349; Gaigg Gerfrid, Dr. 
00351; Gaiswinkler Albrecht 
86976; Gamon Claudia, MSc (WU) 
00353; Gangl Michael 
00357; Gartlehner Kurt, Ing. 
00358; Gärtner Heinz 
04615; Gaßner Kurt, Mag. 
00359; Gasperschitz Alfred, Dr. 
00360; Gasselich Anton, Dr. 
00361; Gasser Hans, Dipl.-Ing. 
00362; Gassner Johann, Ing. 
00369; Gassner Martin 
00370; Gatterer Edeltraud 
04535; Gaugg Reinhart 
00374; Gebert Richard 
03131; Gehrer Elisabeth 
00375; Geiger Leo 
00378; Geischläger Robert, Dr. 
00379; Geisler Simon 
00380; Geißler Hermann, Dr. 
00381; Geißlinger Ferdinand 
00382; Genner Laurenz 
67199; Gerstl Wolfgang, Mag. 
01969; Gerstner Peter 
01945; Geßl Josef 
51527; Gessl-Ranftl Andrea 
00388; Geyer Hermann 
00391; Geyer Walter, Mag. 
02851; Gföhler Willibald, Mag. 
00396; Gföller Karl 
00393; Gföllner Alois 
00399; Giegerl Johann 
00403; Gierlinger Balthasar 
00408; Gimpl Georg, Dr. 
00409; Gindler Anton 
00411; Gisel Alfred, Dr. 
14758; Glaser Franz 
00410; Glaser Karl 
08240; Glawischnig-Piesczek Eva, Dr. 
00412; Glöckel Otto 
00417; Gmoser Rupert, DDr. 
83409; Gödl Ernst, Mag. 
00434; Gorbach Alfons, Dr. 
00436; Gorton Wilhelm, Dipl.-Kfm. 
00435; Gossi Alois 
00431; Götz Alexander, Dipl.-Ing. DDr. 
00437; Grabenhofer Gottlieb 
00438; Grabher-Meyer Walter 
00439; Grabner Arnold 
00440; Grabner Heinz, Dipl.-Ing. 
35502; Gradauer Alois 
00441; Gradenegger Johannes, Dr. 
00442; Gradinger Rudolf, Ing. 
00443; Gradischnik Reimar, Dr. 
00444; Gradwohl Heinz 
00445; Graenitz Ilona, Dipl.-Kfm. 
00446; Graf Ferdinand 
00447; Graf Florian 
08187; Graf Herbert L., Ing. 
02834; Graf Martin, Mag. Dr. 
00450; Graf Robert 
00451; Graf Rudolf 
01977; Graf Tanja 
00452; Graff Michael, Dr. 
00458; Grailer Iring, Dr. 
00460; Gram Heribert 
06755; Grander Maria 
00463; Grandits Marijana, Mag. 
00466; Gratz Leopold, Mag. 
00471; Gratzer Bernhard 
00473; Grebien Alois 
02858; Gredler Martina, Dr. 
00475; Gredler Willfried, Dr. 
80479; Greiner Karin, Mag. 
00479; Grießner Isidor 
12907; Grillitsch Fritz 
02342; Griss Irmgard, Dr. 
00485; Gritschacher Josef 
00487; Gröger Florian 
83147; Groiß Werner, Ing. Mag. 
02835; Grollitsch Udo, Mag. Dr. 
01978; Großbauer Maria 
00503; Größbauer Philipp 
02964; Großruck Wolfgang 
14839; Grossmann Elisabeth, Mag. 
51574; Grosz Gerald 
00519; Gruber Alois 
00521; Gruber Hermann 
00523; Gruber Josef 
00525; Gruber Josef, Dr. 
00535; Gruber Karl 
00530; Gruber Karl, Dipl.-Ing. Dr. 
00536; Gruber Michael 
03445; Gruber Renate 
00537; Gruber Rudolf 
00538; Grubhofer Franz 
01979; Grünberg Kira 
14757; Grünberger Silvia, Mag. 
00551; Grundemann-Falkenberg Ernst 
08241; Grünewald Kurt, Dr. 
00546; Grünsteidl Edmund, Dr. 
00554; Gschnitzer Franz, Dr. 
00557; Gschweidl Rudolf 
